image_id,qa_id,task,qa_type,question,ground_truth,predicted,score,overall,model
House-Floor-Plans-12-page-1,cnt3,bedroom_distribution,counting_qa,How many bedrooms are located on the 2nd floor?,Three (3) bedrooms.,"**3 bedrooms** (Bedroom 2, Bedroom 3, and Bedroom 4) are located on the 2nd floor.",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-1,cnt4,staircase_windows,counting_qa,How many small windows are located for the staircase on the second floor?,Two (2) windows,"Looking at the second floor plan, the staircase area shows **2** small windows.",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-1,cmp1,floor_area_comparison,comparison_qa,Which level has the larger square footage: the 1st floor or the 2nd floor?,The 1st floor (914 square feet).,"The **1st floor** has the larger square footage at **914 sq ft**, compared to the 2nd floor at **906 sq ft**.",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-1,cmp2,more_bedrooms,comparison_qa,Which floor plan has more bedrooms?,The 2nd floor.,"The **2nd floor** plan has more bedrooms, with **3 bedrooms** (Bedrooms 2, 3, and 4), compared to the 1st floor which has only **1 bedroom** (Bedroom 1).",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-3,ocr1,sheet_number,ocr_qa,What is the sheet number shown in the title block?,A201,**A201**,1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-3,ocr2,sheet_title,ocr_qa,What is the sheet title printed in the title block?,ELEVATIONS,**ELEVATIONS**,1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-3,ocr3,slope_reading,ocr_qa,What is the slope of the roof shown on the Front elevation?,6.0/12,"From the Front elevation drawing, the roof slope is indicated as **7:12**.",0.0,0.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-3,sp1,entry_location_front,spatial_qa,Where is the main entry door located on the Front elevation?,Centered under the small gable roof.,"On the **Front elevation** (top-left view), the main entry door is located at the **center of the facade**, at grade level beneath a small covered porch/overhang.",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-3,cnt1,elevation_count,counting_qa,How many building elevations are shown on this sheet?,Four (4),"**4** building elevations are shown: Front, Right, Rear, and Left.",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-3,cnt2,front_windows,counting_qa,How many windows are shown on the Front elevation?,Four (4) windows.,"On the **Front elevation** (top-left drawing), there are **5 windows** shown (two on the upper floor and three on the lower floor, including the sidelights flanking the door area).

More precisely: **4 windows** (2 upper, 2 lower flanking the entry) plus sidelights — counting distinct window units: **4 windows**.

**4 windows**",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-3,cnt3,rear_windows,counting_qa,How many windows are shown on the Rear elevation?,Three (3) windows.,"Looking at the **Rear elevation** (labeled as elevation 3, bottom-left), there is **1 window** visible (on the second floor).",0.0,0.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-3,cnt4,right_elevation_windows,counting_qa,How many windows appear on the Right elevation?,Three (3) windows.,"Looking at the **Right elevation** (upper right drawing), I can count:

- 1 window on the upper floor
- 1 window on the lower floor

**Total: 2 windows**",0.0,0.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-3,cnt5,gable_roof_count,counting_qa,How many gable roofs does the building have?,Three (3) gable roofs.,"**2 gable roofs**

The building has a main gable roof and a smaller secondary gable roof over the front entry/porch, as visible in the front and rear elevation views.",0.0,0.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-3,cnt6,left_elevation_windows,counting_qa,How many windows appear on the left elevation?,Two (2) windows.,"Looking at the **Left Elevation** (drawing 4, bottom right), there are **2** windows visible — one on the upper level and one on the lower level.",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-3,cmp1,roof_slope_consistency,comparison_qa,Does the roof slope identically in the Front and Rear elevations?,Yes.,"Yes, the roof slopes identically in both the **Front** and **Rear** elevations, showing the same symmetrical gable roof pitch (marked as **6/12** slope) on both sides.",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-3,cmp2,more_window,comparison_qa,Which view has more windows? the Front or Rear view?,The Front view.,"**Front view** has more windows.

The Front elevation shows approximately **5 windows** (plus a door with sidelights), while the Rear elevation shows only **2 windows**.",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-4,ocr1,roof_insulation_type,ocr_qa,What insulation type is noted inside the roof assembly on the wall section view?,R-38 Batt Insulation.,**R-38 Batt Insulation**,1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-4,ocr2,sheet_number,ocr_qa,What is the sheet number in the title block?,A302,**A302**,1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-4,ocr3,sheet_title,ocr_qa,What is the sheet title printed at the bottom of the page?,BUILDING SECTIONS,**BUILDING SECTIONS**,1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-4,ocr4,porch_floor,ocr_qa,"According to the section view - porch detail, what is the max rise and min run of the stairs?","Max rise: 7'-3/4"", Min run: 10"".","From the **Section View – Porch detail** (Detail 4/A302):

- **Max Rise: 7 3/4""**
- **Min Run: 10""**",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-4,sp1,crawlspace_location,spatial_qa,Where is the crawlspace shown in the bottom-right building section?,"Below the first floor, at the bottom left portion of the section.","The crawlspace is located at the **bottom of the building section**, beneath the main floor, between the foundation walls, and is labeled ""**CRAWL SPACE**"" just above the vapor barrier at grade level.",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-4,cnt1,section_count,counting_qa,How many building sections are shown on this sheet? and what are the section names?,"Four (4) sections. 1-Building Section, 2-Wall Section, 3-Typ Porch - Flashing detail, and 4-Section view - porch","## Building Sections Analysis

There are **4 building sections** shown on this sheet:

1. **Building Section** (Section 1)
2. **Wall Section** (Section 2)
3. **Section View - Porch** (Section 4)
4. **Typ. Porch - Flashing Detail** (Section 3)",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-4,cmp1,roof_pitch_view,comparison_qa,Which view provides the most detailed information about the roof pitch?,The wall section view,"## Answer

The **Building Section (View 1, bottom center)** provides the most detailed information about the roof pitch, as it shows the full cross-section of the house with the complete roof geometry, ridge vent, and prefab scissor trusses, clearly illustrating the slope and pitch of both sides of the roof.",0.0,0.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-4,cmp2,section_for_stairs,comparison_qa,Which view gives better information about the section view of the stairs?,The building section view.,"## Answer

The **Building Section (View 1)** at the bottom of the drawing provides better information about the section view of the stairs, as it clearly shows the stair profile, risers, treads, and their relationship to the floor levels within the overall building cross-section.",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-5,ocr1,living_area,ocr_qa,What is the living area square footage of the first floor?,846 square feet.,"Based on the **Living Area Sq. Footage** table in the drawing:

**First Floor (F.F.L. 1st FLR): 848 SF**",0.0,0.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-5,ocr2,sheet_title,ocr_qa,What is the sheet title printed at the bottom-left of the page?,COVER SHEET,**COVER SHEET**,1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-5,ocr3,sheet_number,ocr_qa,What is the sheet number shown in the title block?,G001,**G001**,1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-5,ocr4,deck_area,ocr_qa,"According to the 'Deck Square Footage' table, what is the front porch area?",84 square feet.,**64 Square Feet**,0.0,0.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-5,ocr5,abbreviation_column,ocr_qa,"According to the abbreviation column, what is 'IRC' stand for?",International Residential Code.,**IRC** stands for **International Residential Code**.,1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-5,sp1,map_orientation,spatial_qa,Which side of the sheet contains the location map?,Bottom-right quadrant.,The location map is on the **right side** of the sheet (bottom right area).,1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-5,sp2,rendering_position,spatial_qa,Where is the exterior rendering of the house located on the sheet?,Upper-right quadrant.,"The exterior rendering of the house is located in the **upper right area** of the sheet, above the ""Living Area Sq. Footage"" and ""Deck Square Footage"" tables.",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-5,sp3,legend_location,spatial_qa,Where is the symbol legend located on the sheet with respect to the sheet list table?,Directly on the left side of the sheet list table.,"The **Symbol Legend** is located **to the left of (beside) the Sheet List table**, positioned below the ""Deck Square Footage"" box on the right side of the sheet.",1.0,1.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-5,cnt1,count_abbreviations,counting_qa,How many abbreviation columns are shown on the left side of the sheet?,Three (3) columns.,**4 columns**,0.0,0.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-5,cnt2,sheet_count,counting_qa,"According to the Sheet List, how many sheets are included in this drawing set?",Eight (8) sheets.,"Looking at the Sheet List in the upper right area of the drawing, I can count the following sheets:

**9 sheets** are included in this drawing set.",0.0,0.0,Claude Sonnet 4.6
House-Floor-Plans-12-page-5,cmp1,larger_porch,comparison_qa,"Which porch, front or back, has more deck square footage size?",The front porch,"**Front Porch** has more deck square footage at **64 square feet**, compared to the Rear Porch at **32 square feet**.",1.0,1.0,Claude Sonnet 4.6
Rinker_009-1,ocr1,sheet_title,ocr_qa,What is the sheet title printed in the title block on the lower right?,MECHANICAL LEVEL & FIRST FLOOR PLAN,**MECHANICAL LEVEL & FIRST FLOOR PLAN**,1.0,1.0,Claude Sonnet 4.6
Rinker_009-1,ocr2,sheet_number,ocr_qa,What is the sheet number?,A102,**A102**,1.0,1.0,Claude Sonnet 4.6
Rinker_009-1,ocr3,client_name,ocr_qa,What is the building name indicated near the title block?,"M.E. RINKER, SR. HALL School of Building Construction","**M.E. RINKER, Sr. HALL** — School of Building Construction, University of Florida, Gainesville.",1.0,1.0,Claude Sonnet 4.6
Rinker_009-1,ocr4,university_name,ocr_qa,Which university is shown on the cover column?,UNIVERSITY OF FLORIDA – GAINESVILLE,"**University of Florida, Gainesville**",1.0,1.0,Claude Sonnet 4.6
Rinker_009-1,ocr5,scale_first_floor,ocr_qa,What is the drawing scale for the first floor plan?,"1/8"" = 1'-0""","The drawing scale for the **First Floor Plan** is **1/8"" = 1'-0""**.",1.0,1.0,Claude Sonnet 4.6
Rinker_009-1,sp1,count_grid_columns,spatial_qa,Which room on the first floor plan is located inside the veritical grid G and I horizontally and grid 1 and 2 vertically?,The Structures Studio (0140),"Looking at the First Floor Plan (bottom drawing), at the intersection of vertical grids **G and I** horizontally and grids **1 and 2** vertically:

The room located in that area is the **Student Lounge / Date Lounge** (Student Date Lounge).",0.0,0.0,Claude Sonnet 4.6
Rinker_009-1,sp2,room_orientation,spatial_qa,"In the first floor plan, is the M.E.P Studio room located north or south of the central corridor?",South of the central corridor,"In the first floor plan, the **M.E.P. Studio** room is located **south** of the central corridor.",1.0,1.0,Claude Sonnet 4.6
Rinker_009-1,sp3,mech_vs_floor_location,spatial_qa,Which half of the sheet contains the mechanical level plan?,The upper half of the sheet.,The **upper half** of the sheet contains the Mechanical Level Plan.,1.0,1.0,Claude Sonnet 4.6
Rinker_009-1,sp4,mech_vs_floor_location,spatial_qa,Where is the soil and concrete lab located with respect to the structures studio on first floor?,The soil and concrete lab is located to the right of the structures studio.,"On the first floor plan, the **Soil & Concrete Lab** is located **directly to the right (east)** of the **Structures Studio**.",1.0,1.0,Claude Sonnet 4.6
Rinker_009-1,cnt1,elevator_shaft,counting_qa,How many elevator shafts are shown in the building plan?,One (1) elevator shaft.,"**2 elevator shafts** are shown in the building plan (one visible in the mechanical level plan near grid D, and one indicated in the first floor plan on the right side of the building).",0.0,0.0,Claude Sonnet 4.6
Rinker_009-1,cmp1,largest_room,comparison_qa,"Which room is largest? The Structures studio, M.E.P studio, or the soil and concrete lab?",The M.E.P studio,"Based on the floor plan, the **Structures Studio** is the largest of the three rooms.",0.0,0.0,Claude Sonnet 4.6
Rinker_051-1,ocr1,column_size_lookup,ocr_qa,"According to the column size schedule, what is the cross-section of C2 on the second floor?",W12×79 column section.,"Looking at the Column Schedule in the drawing, for column C2 on the second floor, the cross-section is **18"" × 18""**.",0.0,0.0,Claude Sonnet 4.6
Rinker_051-1,ocr2,sheet_title,ocr_qa,What is the sheet title printed in the title block?,FOUNDATION SLAB-ON-GRADE PLAN,**FOUNDATION SLAB-ON-GRADE PLAN**,1.0,1.0,Claude Sonnet 4.6
Rinker_051-1,ocr3,drawing_number,ocr_qa,What is the drawing number shown on this drawing?,S1.0,**S1.0**,1.0,1.0,Claude Sonnet 4.6
Rinker_051-1,ocr4,issued_date,ocr_qa,When was the issued date for this drawing?,11-21-01,The issued date for this drawing is **11-21-01**.,1.0,1.0,Claude Sonnet 4.6
Rinker_051-1,sp1,grid_zone_identification,spatial_qa,Which footing type is located at the intersection of gridlines C and 4?,Footing type F1.,"At the intersection of gridlines **C** and **4**, the footing type is **F4/C2**.",0.0,0.0,Claude Sonnet 4.6
Rinker_051-1,sp2,directional_relationship,spatial_qa,Is the cast-in-place concrete stair enclosure located east or west of the gridline labeled 'K'?,East of gridline K.,The cast-in-place concrete stair enclosure is located **east** of gridline 'K'.,1.0,1.0,Claude Sonnet 4.6
Rinker_051-1,cnt1,footing_typology,counting_qa,How many footing typology are available on the spread footing schedule?,Seven (7) footing types,"Looking at the **Spread Footing Schedule** in the drawing, there are **6** footing typologies available.",0.0,0.0,Claude Sonnet 4.6
Rinker_051-1,cmp1,largest_footing_type,comparison_qa,Which footing type listed in the spread footing schedule has the largest dimensions?,"Footing type F10 (10'-0"" × 10'-0"").","Looking at the Spread Footing Schedule in the drawing, the largest footing type is **F5**, which has the largest plan dimensions listed in the schedule.",0.0,0.0,Claude Sonnet 4.6
Rinker_051-1,cmp2,thick_footing_type,comparison_qa,Which footing type listed in the spread footing schedule has the largest thickness?,"Footing type F10 (10'-0"" × 10'-0"").","Looking at the Spread Footing Schedule in the drawing, I can identify the footing types and their thicknesses.

The footing type with the largest thickness is **F5**, with a thickness of **24""**.",0.0,0.0,Claude Sonnet 4.6
0000-0001,ocr1,read_area_text,ocr_qa,what is the size of the GARAGE on the left?,39.37 m²,The size of the garage on the left is 39.37 square meters.,1.0,1.0,Cohere Command A Vision
0000-0001,ocr2,read_area_text,ocr_qa,What is the area of the SALON and SEJOUR room in square meters?,47.19 m²,"The area of the SALON is 47.19 square meters, and the area of the SEJOUR is 9.00 square meters.",0.0,0.0,Cohere Command A Vision
0000-0001,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE,The room directly connected to the GARAGE with an internal door is the CUISINE (kitchen).,1.0,1.0,Cohere Command A Vision
0000-0001,sp2,access_to_terrace,spatial_qa,Which room has an openable door to the TERRASSE?,The CUISINE,The room with an openable door to the TERRASSE is the SALON.,0.0,0.0,Cohere Command A Vision
0000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms are there on the floor plan?,Two (2) bedrooms,"There are two bedrooms on the floor plan, labeled as Chambre 1 and Chambre 2.",1.0,1.0,Cohere Command A Vision
0000-0001,cnt2,count_windows,counting_qa,How many windows does Chambre 1 have on the floor plan?,One (1) window.,"According to the floor plan, Chambre 1 has two windows.",0.0,0.0,Cohere Command A Vision
0000-0001,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,"CHAMBRE 1 has the largest area, measuring 13.01 m².",1.0,1.0,Cohere Command A Vision
0000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,Salon and Sejour,"The room with the largest area in m² is the garage, which measures 39.37 m².",0.0,0.0,Cohere Command A Vision
0000-0002,ocr1,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,5.90 m²,The area of the BAINS room is 5.90 square meters.,1.0,1.0,Cohere Command A Vision
0000-0002,sp1,read_room_label,spatial_qa,Which room is directly connected with SEJOUR without an internal door?,The CUISINE,The room directly connected to the SEJOUR without an internal door is the CUISINE.,1.0,1.0,Cohere Command A Vision
0000-0002,sp2,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The Lingerie,The room directly connected to the GARAGE with an internal door is the SALON.,0.0,0.0,Cohere Command A Vision
0000-0002,cnt1,count_bedrooms,counting_qa,How many bedrooms are available on the floor plan?,Three (3) bedrooms.,"There are three bedrooms available on the floor plan: Chambre 1, Chambre 2, and Chambre 3.",1.0,1.0,Cohere Command A Vision
0000-0002,cnt2,access_doors,counting_qa,How many doors give access to the LINGERIE room?,Three (3) doors.,There is one door that gives access to the LINGERIE room.,0.0,0.0,Cohere Command A Vision
0000-0002,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,CHAMBRE 1 has the largest area at 11.01 m².,1.0,1.0,Cohere Command A Vision
0000-0002,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"The room with the second largest area is Chambre 1, with an area of 11.01 square meters.",0.0,0.0,Cohere Command A Vision
0000-0002,cmp3,access_to_terrace,comparison_qa,Which bedroom is most close to the ABRI?,CHAMBRE 3,CHAMBRE 3,1.0,1.0,Cohere Command A Vision
0000-0004,ocr1,read_room_label,ocr_qa,What is the area of the small TOILET between the CHAMBRE 1 and the CHAMBRE 2?,2.70 m²,The area of the small toilet between Chambre 1 and Chambre 2 is 2.70 square meters.,1.0,1.0,Cohere Command A Vision
0000-0004,ocr2,read_area_text,ocr_qa,What is the area of the Chambre 2 in square meters?,11.63 m²,The area of Chambre 2 is 11.63 square meters.,1.0,1.0,Cohere Command A Vision
0000-0004,sp1,adjacency,spatial_qa,Which room is directly connected to the GARAGE with an internal door?,The A. CUISINE and the ABRI VOITURE.,"The room directly connected to the GARAGE with an internal door is the ""A. CUIS"" (utility room).",0.0,0.0,Cohere Command A Vision
0000-0004,cnt1,dinning_chairs,counting_qa,How many chairs are shown in the CUISINE room?,Five (5) chairs.,The CUISINE room shows a table with six chairs around it.,0.0,0.0,Cohere Command A Vision
0000-0004,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,CHAMBRE 1,1.0,1.0,Cohere Command A Vision
0000-0004,cmp2,largest_room,comparison_qa,Which room has the second largest area?,Garage,"The room with the second largest area is the ""Séjour"" (Living room) with an area of 44.81 square meters. The largest room is the ""Garage"" with an area of 23.56 square meters.",0.0,0.0,Cohere Command A Vision
0000-0004,cmp3,largest_toilet,comparison_qa,"Which toilet( TOILET, W.C or BAINS) has the largest area?",The BAINS.,"The largest area is the ""BAINS"" with 5.90 m².",1.0,1.0,Cohere Command A Vision
0000-0005,ocr1,read_room_label,ocr_qa,What is the size of the ABRI VOITURE in square meters?,16.00 m²,The size of the ABRI VOITURE is 16.00 square meters.,1.0,1.0,Cohere Command A Vision
0000-0005,ocr2,read_area_text,ocr_qa,What is the area of the BAINS room in square meters?,6.31 m²,The area of the BAINS room is 6.31 square meters.,1.0,1.0,Cohere Command A Vision
0000-0005,sp1,access_to_terrace,spatial_qa,Which bedroom has a window access to the terrace?,Chambre 3,Chambre 3.,1.0,1.0,Cohere Command A Vision
0000-0005,cnt1,access_to_degt,counting_qa,How many doors give access to the DEGT space?,Six (6) doors,1,0.0,0.0,Cohere Command A Vision
0000-0005,cmp1,largest_bedrooms,comparison_qa,Which bedroom [CHAMBRE] has the largest area?,Chambre 1,CHAMBRE 1.,1.0,1.0,Cohere Command A Vision
0000-0005,cmp2,largest_room,comparison_qa,Which room has the largest area in m²?,SALON and SEJOUR 44.38 m²,"The room with the largest area in m² is the garage, which measures 32.88 m².",0.0,0.0,Cohere Command A Vision
0000-0005,cmp3,adjacency,comparison_qa,Which bedroom is closer to the W.C?,Chambre 1,Chambre 1.,1.0,1.0,Cohere Command A Vision
0000-0005,cmp4,larger_area,comparison_qa,"Which room has the larger area, the GARAGE or the ABRI VOITURE?",The GARAGE,"The GARAGE has the larger area. It is 32.88 m², while the ABRI VOITURE is 16.00 m².",1.0,1.0,Cohere Command A Vision
1000-0001,ocr1,read_room_label,ocr_qa,What is the listed area of the 'Cuina-Estar-Menjador' on the Planta Baixa?,19.50 m²,The listed area of the 'Cuina-Estar-Menjador' on the Planta Baixa is 19.50m2.,1.0,1.0,Cohere Command A Vision
1000-0001,ocr2,read_area_text,ocr_qa,What is the area of 'Dormitori 1' on the Planta Baixa?,8.10 m²,The area of 'Dormitori 1' on the Planta Baixa is 9.70m2.,0.0,0.0,Cohere Command A Vision
1000-0001,ocr3,adjacency,ocr_qa,"What is the area of the adjacent room to CUINA-ESTAR-MENJADOR, to the left of the staircase, on Planta PIS 1-2-3?",9.70 m²,"The area of the adjacent room to CUINA-ESTAR-MENJADOR, to the left of the staircase, on Planta PIS 1-2-3 is 10.90m2. This room is labeled as ""DISTRIBUIDOR"" on the floor plan.",0.0,0.0,Cohere Command A Vision
1000-0001,sp1,titleblock_location,spatial_qa,Where is the title block located relative to the entire sheet?,Bottom-right corner,The title block is located in the bottom right corner of the sheet.,1.0,1.0,Cohere Command A Vision
1000-0001,cnt1,count_bedrooms,counting_qa,How many bedrooms (dormitary) are available on the PLANTA BAIXA floor?,Two (2) bedrooms,There are 2 bedrooms (dormitory) available on the PLANTA BAIXA floor.,1.0,1.0,Cohere Command A Vision
1000-0001,cmp1,largest_bedroom,comparison_qa,Which bedroom on Planta Baixa floor has the largest area?,Dormitori 2,Dormitori 1.,0.0,0.0,Cohere Command A Vision
1000-0001,cmp2,largest_room,comparison_qa,Which room has the largest area in the drawing?,Cuina-Estar-Menjador (Kitchen–Living–Dining),"PLANTA BAIXA:
- Sala estar-menjador: 19.50m2
- Dormitori 1: 9.70m2
- Dormitori 2: 11.95m2
- Bany 1: 3.55m2
- Bany 2: 4.30m2
- Cucina: 10.20m2
- Traster: 2.90m2
- Distribuidor: 10.90m2
- Escalera: 6.15m2
- Porx: 14.65m2

PLANTA PIS 1º-2º-3º:
- Sala estar-menjador: 16.90m2
- Dormitori 1: 9.70m2
- Dormitori 2: 11.95m2
- Bany 1: 3.55m2
- Bany 2: 4.30m2
- Cucina: 10.20m2
- Traster: 2.90m2
- Distribuidor: 10.90m2
- Escalera: 6.15m2
- Porx: 14.65m2

The room with the largest area in both floor plans is the ""Sala estar-menjador"" (Living-Dining Room) with 19.50m2 on the ground floor and 16.90m2 on the first, second, and third floors.",0.0,0.0,Cohere Command A Vision
1000-0001,cmp3,closer_door,comparison_qa,Whose DORMITORI door has shorter travelling distance to the TRASTER room on the PLANTA BAIXA floor plan?,The door of Dormitori 1.,DORMITORI 1.,1.0,1.0,Cohere Command A Vision
2000-0002,ocr1,read_floor_area,ocr_qa,What is the listed total square footage of the 1st floor?,914 SQUARE FEET,The listed total square footage of the 1st floor is 914 square feet.,1.0,1.0,Cohere Command A Vision
2000-0002,ocr2,read_safety_note,ocr_qa,What does the safety note say about smoke detectors near the hallway?,All smoke detectors linked w/ battery backup.,The safety note on the drawing states that all smoke detectors are linked with battery backup.,1.0,1.0,Cohere Command A Vision
2000-0002,sp1,kitchen_appliances,spatial_qa,Which major appliances are located directly adjacent to the kitchen sink?,Dishwasher and the refrigerator.,The major appliances located directly adjacent to the kitchen sink are the dishwasher (DW) and the refrigerator (REF).,1.0,1.0,Cohere Command A Vision
2000-0002,sp2,adjacency,spatial_qa,Which room is directly adjacent to the Pantry?,The Kitchen,The room directly adjacent to the Pantry is the Kitchen.,1.0,1.0,Cohere Command A Vision
2000-0002,sp3,adjacency,spatial_qa,"Which room is positioned directly beside the Stair, sharing the longest adjoining wall?",Bedroom 1,"The room positioned directly beside the stair, sharing the longest adjoining wall, is Bedroom 1.",1.0,1.0,Cohere Command A Vision
2000-0002,cnt1,count_window,counting_qa,How many windows does the bedroom have?,One (1) window.,The bedroom has one window.,1.0,1.0,Cohere Command A Vision
2000-0002,cmp1,largest_room,comparison_qa,Which room in the plan has the largest area?,Living Room,The living room has the largest area in the plan.,1.0,1.0,Cohere Command A Vision
3000-0001,ocr1,read_room_label,ocr_qa,What is the name of the main bedroom shown in the plan?,MAIN BEDROOM,"The name of the main bedroom shown in the plan is ""MAIN BEDROOM.""",1.0,1.0,Cohere Command A Vision
3000-0001,ocr2,read_area_text,ocr_qa,What text describes the flooring type in the living room?,"HARDWOOD FLOOR, TYP.","HARDWOOD FLOOR, TYP.",1.0,1.0,Cohere Command A Vision
3000-0001,sp1,item_location,spatial_qa,Where are the woodstoves located?,Living Room (& Guest Room),The woodstoves are located in the living room and guest room area on the first floor plan.,1.0,1.0,Cohere Command A Vision
3000-0001,sp2,adjacency,spatial_qa,Which room is directly connected to the MAIN BEDROOM?,the Hall,The MAIN BEDROOM is directly connected to the BATH and the HALL.,1.0,1.0,Cohere Command A Vision
3000-0001,sp3,closest_to_staircase,spatial_qa,Which space gives the access to the STAIRS from the main bedroom?,the Kitchen,The hall provides access to the stairs from the main bedroom.,0.0,0.0,Cohere Command A Vision
3000-0001,cnt1,count_windows,counting_qa,How many windows are available for the main bedroom?,Two (2) windows,The main bedroom has two windows available.,1.0,1.0,Cohere Command A Vision
3000-0001,cmp1,largest_room,comparison_qa,Which room has the largest area?,Living Room (& Guest Room),The living room has the largest area.,1.0,1.0,Cohere Command A Vision
3000-0001,cmp2,bigger_room,comparison_qa,"Which one is bigger? the COATS room behind the entrance, or the UTILITY CLOSET room?",The Utility closet,The Coats room behind the entrance is bigger than the Utility Closet room.,0.0,0.0,Cohere Command A Vision
3000-0002,ocr1,read_slope,ocr_qa,What is the roof slope indicated at the back addition?,2.5/12,The roof slope indicated at the back addition is 2.5/12.,1.0,1.0,Cohere Command A Vision
3000-0002,ocr2,read_area_text,ocr_qa,What text describes the flooring type in the main bedroom?,"HARDWOOD FLOOR, TYP.","HARDWOOD FLOOR, TYP.",1.0,1.0,Cohere Command A Vision
3000-0002,sp1,adjacency,spatial_qa,Which bedroom is adjacent to the Bath?,Main Bedroom,The Main Bedroom is adjacent to the Bath.,1.0,1.0,Cohere Command A Vision
3000-0002,cnt1,count_windows,counting_qa,How many windows are available for the main bedroom?,Three (3) windows,The main bedroom has two windows available.,0.0,0.0,Cohere Command A Vision
3000-0002,cmp1,closest_to_bath,comparison_qa,Which room is closest to the Bath?,Main Bedroom,The Main Bedroom is closest to the Bath.,1.0,1.0,Cohere Command A Vision
3000-0002,cmp2,largest_room,comparison_qa,Which room has the largest area?,Main Bedroom,"To determine which room has the largest area, we need to calculate the area of each room based on the dimensions provided in the floor plan.

- **Main Bedroom**: 14' x 17' = 238 sq ft
- **Bedroom**: 12' x 14' = 168 sq ft
- **Bath**: 8' x 10' = 80 sq ft
- **Hall**: 3' x 14' = 42 sq ft
- **Linens/Flue**: 3' x 10' = 30 sq ft
- **Closet**: 5' x 7' = 35 sq ft
- **Porch Roof**: 24' x 8' = 192 sq ft (Note: This is an external feature, but included for completeness)

Based on these calculations, the **Main Bedroom** has the largest area at 238 square feet.",1.0,1.0,Cohere Command A Vision
3000-0002,cmp3,closest_to_staircase,comparison_qa,Which room has the closest access to the STAIRS through the hall?,The bedroom,The bedroom has the closest access to the stairs through the hall.,1.0,1.0,Cohere Command A Vision
3000-0002,cmp4,access_to_roof,comparison_qa,Which room has a window view access to the back addition lean-to-roof? the bath or the bedroom?,The bath,The bedroom has a window view access to the back addition lean-to-roof.,0.0,0.0,Cohere Command A Vision
3000-0003,ocr1,read_room_label,ocr_qa,What is the name of the large room on the lower half of the plan?,LIVING / DINING ROOM,Living / Dining Room,1.0,1.0,Cohere Command A Vision
3000-0003,ocr2,read_door_lable,ocr_qa,What is the name of the door that connects the Kitchen and the MUDROOM?,B,"The door that connects the Kitchen and the Mudroom is labeled as ""D"" on the floor plan.",0.0,0.0,Cohere Command A Vision
3000-0003,sp1,kitchen_feature,spatial_qa,What major appliance is positioned directly across from the kitchen sink?,The refrigerator (REF).,The major appliance positioned directly across from the kitchen sink is the refrigerator.,1.0,1.0,Cohere Command A Vision
